layername,device
input,0
Embedding,0
layer_0_mid_position_embedding,1
layer_1_mid_position_embedding,4
layer_2_mid_position_embedding,7
layer_3_mid_position_embedding,10
layer_4_mid_position_embedding,13
layer_5_mid_position_embedding,16
layer_6_mid_position_embedding,19
layer_7_mid_position_embedding,22
layer_8_mid_position_embedding,1
layer_9_mid_position_embedding,13
layer_10_mid_position_embedding,13
layer_0,0
layer_0_add_mid_position_embedding,2
layer_1,3
layer_1_add_mid_position_embedding,5
layer_2,6
layer_2_add_mid_position_embedding,8
layer_3,9
layer_3_add_mid_position_embedding,11
layer_4,12
layer_4_add_mid_position_embedding,14
layer_5,15
layer_5_add_mid_position_embedding,17
layer_6,18
layer_6_add_mid_position_embedding,20
layer_7,21
layer_7_add_mid_position_embedding,4
layer_8,10
layer_8_add_mid_position_embedding,22
layer_9,7
layer_9_add_mid_position_embedding,19
layer_10,16
layer_10_add_mid_position_embedding,1
layer_11,13
Layer_Norm,13
Class_Labels_Classifier,13
Box_Predictor,13
output,13
