layer,mem
trans,30.459
conv1,160.938
bn1,80.001
relu,0
maxpl,40
layer1,1321.404
layer2,928.078
layer3,674.72
layer4,233.848
inner_3,2.504
layer_3,8.75
inner_2,11.655
inter_2,2.44
layer_2,16.01
inner_1,39.139
inter_1,9.77
layer_1,45.33
inner_0,160.2345
inter_0,40
layer_0,166.25
extra,1.014
rpn_f0,289.68
rpn_f1,75.961
rpn_f2,24.7455
rpn_f3,10.8675
rpn_f4,7.5425
rpn_mgr,3.9545
roi_pol,242.5805
fc6,15.64
fc7,15.64
cls_scr,0.711
bb_pred,2.78
detect,25.6746
