layer,mem
dark2,1295.48
dark3,1424.3
dark4,867.64
dark5,396.76
latr_c0,11.005
up_P5,4.28
C3_p4,361.87
reds_c1,27.41
up_P4,7.81
C3_p3,568.81
bu_c2,30.06
C3_n3,342.67
bu_c1,11
C3_n4,305.88
stems_0,86.34
cls_cs_0,195.15
cls_p_0,9.459
reg_cs_0,195.15
reg_p_0,0.444
obj_p_0,0.1015
p_out_0,7.26
stems_1,27.4315
cls_cs_1,72.32
cls_p_1,2.1105
reg_cs_1,67.23
reg_p_1,0.1015
obj_p_1,0.0275
p_out_1,1.5945
stems_2,5.505
cls_cs_2,30.51
cls_p_2,0.5015
reg_cs_2,30.52
reg_p_2,0.0275
obj_p_2,0.0095
p_out_2,0.399
