layer_name,time,cpu_mem,cuda_mem,size,macs
layer_5_Key, 0.017595712661743163,0,0,9.9638671875,0
layer_5_Value, 0.01764384078979492,0,0,9.9638671875,0
layer_5_mul, 0.08892716979980468,0,520,529.4861297607422,0
layer_5_div, 0.030802240371704103,0,520,529.4861297607422,0
layer_5_softmax, 0.07289497375488281,0,0,529.4861297607422,0
layer_5_dropout, 0.00022995199263095854,0,0,529.4861297607422,0
layer_5_context, 0.07189651489257813,0,0,9.9638671875,0
layer_5_Self_Attention_Output, 0.017431936264038085,0,0,9.9638671875,0
layer_5_Residual_Connection_1, 0.000988704025745392,0,0,9.9638671875,0
layer_5_Layer_Norm_After, 0.001490623950958252,0,200,9.9638671875,0
layer_5_Intermediate_Forward, 0.07112860870361327,0,800,39.85546875,0
layer_5_Output, 0.0664082260131836,0,1130,9.9638671875,0
layer_5_add_mid_position_embedding, 0.0010804799795150757,0,1130,9.9638671875,0
layer_6_Layer_Norm_Before, 0.0013055039644241334,0,0,9.9638671875,0
layer_6_Query, 0.017272544860839845,0, 0,9.9638671875,0
layer_6_Key, 0.017464319229125978,0,0,9.9638671875,0
layer_6_Value, 0.017229408264160157,0,0,9.9638671875,0
layer_6_mul, 0.0887325439453125,0,520,529.4861297607422,0
layer_6_div, 0.0308438720703125,0,520,529.4861297607422,0
layer_6_softmax, 0.0728768310546875,0,0,529.4861297607422,0
layer_6_dropout, 0.0001967040002346039,0,0,529.4861297607422,0
layer_6_context, 0.071227294921875,0,0,9.9638671875,0
layer_6_Self_Attention_Output, 0.01750806427001953,0,0,9.9638671875,0
layer_6_Residual_Connection_1, 0.000980127990245819,0,0,9.9638671875,0
layer_6_Layer_Norm_After, 0.0012879040241241455,0,200,9.9638671875,0
layer_6_Intermediate_Forward, 0.07104265594482422,0,800,39.85546875,0
layer_6_Output, 0.0657701416015625,0,1130,9.9638671875,0
layer_6_add_mid_position_embedding, 0.0010134719610214234,0,1190,9.9638671875,0
layer_7_Layer_Norm_Before, 0.001275231957435608,0,0,9.9638671875,0
layer_7_Query, 0.01746553611755371,0, 0,9.9638671875,0
layer_7_Key, 0.017405567169189454,0,0,9.9638671875,0
layer_7_Value, 0.01751753616333008,0,0,9.9638671875,0
layer_7_mul, 0.08867318725585938,0,520,529.4861297607422,0
layer_7_div, 0.03081248092651367,0,520,529.4861297607422,0
layer_7_softmax, 0.07299199676513672,0,0,529.4861297607422,0
layer_7_dropout, 0.0002622080147266388,0,0,529.4861297607422,0
layer_7_context, 0.07136224365234375,0,0,9.9638671875,0
layer_7_Self_Attention_Output, 0.01757702445983887,0,0,9.9638671875,0
layer_7_Residual_Connection_1, 0.0009869760274887084,0,0,9.9638671875,0
layer_7_Layer_Norm_After, 0.0013795839548110963,0,200,9.9638671875,0
layer_7_Intermediate_Forward, 0.07110860443115234,0,800,39.85546875,0
layer_7_Output, 0.06604444885253906,0,1130,9.9638671875,0
layer_7_add_mid_position_embedding, 0.0010542720556259155,0,1130,9.9638671875,0
